timestamp,inf_time_ms,fps,detections
2026-02-12T05:32:04.830061,10830.42,0.06,1
2026-02-12T05:32:04.961564,131.20,0.12,1
2026-02-12T05:32:04.990904,29.10,0.18,1
2026-02-12T05:32:05.017483,26.31,0.24,1
2026-02-12T05:32:05.045989,28.28,0.30,1
2026-02-12T05:32:05.076408,30.17,0.36,1
2026-02-12T05:32:05.105930,29.29,0.43,1
2026-02-12T05:32:05.136370,30.21,0.48,1
2026-02-12T05:32:05.167049,30.43,0.54,1
2026-02-12T05:32:05.205345,36.36,0.60,1
2026-02-12T05:32:05.240385,34.79,0.66,1
2026-02-12T05:32:05.279611,38.99,0.72,1
2026-02-12T05:32:05.320747,40.90,0.78,1
2026-02-12T05:32:05.357806,36.80,0.84,1
2026-02-12T05:32:05.394904,36.82,0.90,1
2026-02-12T05:32:05.428352,33.21,0.95,1
2026-02-12T05:32:05.461757,33.14,1.01,1
2026-02-12T05:32:05.538551,76.56,1.07,1
2026-02-12T05:32:05.569628,30.83,1.12,1
2026-02-12T05:32:05.597335,27.43,1.18,1
2026-02-12T05:32:05.632035,27.40,1.24,1
2026-02-12T05:32:05.665243,26.65,1.29,1
2026-02-12T05:32:05.707993,26.07,1.35,1
2026-02-12T05:32:05.732382,24.13,1.40,1
2026-02-12T05:32:05.760446,26.18,1.46,1
2026-02-12T05:32:05.791853,25.01,1.52,1
2026-02-12T05:32:05.827481,24.42,1.57,1
2026-02-12T05:32:05.859476,25.27,1.63,1
2026-02-12T05:32:05.897515,30.05,1.68,1
2026-02-12T05:32:05.937575,28.78,1.73,1
2026-02-12T05:32:05.963726,24.42,1.79,1
2026-02-12T05:32:05.996157,24.71,1.84,1
2026-02-12T05:32:06.031215,24.70,1.90,1
2026-02-12T05:32:06.061319,23.58,1.95,1
2026-02-12T05:32:06.103855,27.76,2.00,1
2026-02-12T05:32:06.137008,24.92,2.06,1
2026-02-12T05:32:06.168708,25.24,2.11,1
2026-02-12T05:32:06.198799,24.85,2.16,1
2026-02-12T05:32:06.284250,29.66,2.21,1
2026-02-12T05:32:06.312787,28.27,2.26,1
2026-02-12T05:32:06.337297,24.25,2.32,1
2026-02-12T05:32:06.379870,24.80,2.37,1
2026-02-12T05:32:06.403858,23.76,2.42,1
2026-02-12T05:32:06.438872,24.98,2.47,1
2026-02-12T05:32:06.475494,27.83,2.52,1
2026-02-12T05:32:06.508422,28.75,2.57,1
2026-02-12T05:32:06.548114,29.60,2.62,1
2026-02-12T05:32:06.589189,35.25,2.67,1
2026-02-12T05:32:06.622969,33.54,2.72,1
2026-02-12T05:32:06.662074,38.86,2.77,1
2026-02-12T05:32:06.704721,42.39,2.82,1
2026-02-12T05:32:06.752079,44.36,2.87,1
2026-02-12T05:32:06.796948,44.54,2.92,1
2026-02-12T05:32:06.838634,41.27,2.97,1
2026-02-12T05:32:06.875401,36.46,3.02,1
2026-02-12T05:32:06.913404,37.63,3.06,1
2026-02-12T05:32:06.953793,40.02,3.11,1
2026-02-12T05:32:07.030501,76.31,3.15,1
2026-02-12T05:32:07.077156,46.21,3.20,1
2026-02-12T05:32:07.122035,44.43,3.25,1
2026-02-12T05:32:07.165973,43.49,3.29,1
2026-02-12T05:32:07.210006,43.62,3.34,1
2026-02-12T05:32:07.249503,39.01,3.38,1
2026-02-12T05:32:07.284802,34.91,3.43,1
2026-02-12T05:32:07.312645,27.49,3.48,1
2026-02-12T05:32:07.339782,26.75,3.53,1
2026-02-12T05:32:07.365513,25.44,3.58,1
2026-02-12T05:32:07.392652,26.84,3.63,1
2026-02-12T05:32:07.422250,29.13,3.67,1
2026-02-12T05:32:07.516557,93.77,3.71,1
2026-02-12T05:32:07.556514,39.51,3.75,1
2026-02-12T05:32:07.658577,101.71,3.79,1
2026-02-12T05:32:07.743284,84.40,3.82,1
2026-02-12T05:32:07.768856,25.31,3.87,0
2026-02-12T05:32:07.790011,20.95,3.92,0
2026-02-12T05:32:07.807108,16.90,3.96,0
2026-02-12T05:32:07.834796,18.34,4.01,0
2026-02-12T05:32:07.871166,18.27,4.06,0
2026-02-12T05:32:07.901892,21.55,4.10,0
2026-02-12T05:32:07.935613,20.44,4.15,0
2026-02-12T05:32:07.979068,27.60,4.19,0
2026-02-12T05:32:08.006154,21.57,4.23,0
2026-02-12T05:32:08.035476,18.26,4.28,0
2026-02-12T05:32:08.078499,23.43,4.32,0
2026-02-12T05:32:08.105485,19.97,4.37,0
2026-02-12T05:32:08.143621,23.12,4.41,0
2026-02-12T05:32:08.176477,18.82,4.45,0
2026-02-12T05:32:08.208932,19.55,4.50,0
2026-02-12T05:32:08.246026,23.28,4.54,0
2026-02-12T05:32:08.279358,21.78,4.58,0
2026-02-12T05:32:08.308989,19.92,4.63,0
2026-02-12T05:32:08.343354,20.64,4.67,0
2026-02-12T05:32:08.379217,18.67,4.71,0
2026-02-12T05:32:08.416181,23.30,4.75,0
2026-02-12T05:32:08.444875,20.29,4.80,0
2026-02-12T05:32:08.489404,25.82,4.84,0
2026-02-12T05:32:08.518056,21.88,4.88,0
2026-02-12T05:32:08.552023,24.91,4.92,0
2026-02-12T05:32:08.590158,20.18,4.96,0
2026-02-12T05:32:08.617898,18.42,5.00,0
2026-02-12T05:32:08.654014,24.38,5.05,0
2026-02-12T05:32:08.692589,25.21,5.09,0
2026-02-12T05:32:08.719271,23.74,5.13,0
2026-02-12T05:32:08.746981,18.39,5.17,0
2026-02-12T05:32:08.804666,20.34,5.21,0
2026-02-12T05:32:08.823815,18.96,5.25,0
2026-02-12T05:32:08.846627,17.52,5.29,0
2026-02-12T05:32:08.878948,17.36,5.34,0
2026-02-12T05:32:08.913398,19.02,5.38,0
2026-02-12T05:32:08.953199,23.79,5.41,0
2026-02-12T05:32:08.982903,18.83,5.46,0
2026-02-12T05:32:09.015646,20.43,5.50,0
2026-02-12T05:32:09.047085,18.80,5.54,0
2026-02-12T05:32:09.081914,21.14,5.58,0
2026-02-12T05:32:09.120265,20.86,5.61,0
2026-02-12T05:32:09.137438,16.97,5.66,0
2026-02-12T05:32:09.185302,18.58,5.69,0
2026-02-12T05:32:09.204993,19.14,5.74,0
2026-02-12T05:32:09.258277,28.47,5.77,0
2026-02-12T05:32:09.277485,18.91,5.81,0
2026-02-12T05:32:09.319573,22.39,5.85,0
2026-02-12T05:32:09.348142,19.51,5.89,0
2026-02-12T05:32:09.385017,24.23,5.93,0
2026-02-12T05:32:09.416119,19.87,5.97,0
2026-02-12T05:32:09.454302,22.50,6.00,0
2026-02-12T05:32:09.482006,21.27,6.04,0
2026-02-12T05:32:09.514429,20.56,6.08,0
2026-02-12T05:32:09.538899,20.10,6.12,0
2026-02-12T05:32:09.589107,23.19,6.16,0
2026-02-12T05:32:09.617655,23.59,6.20,0
2026-02-12T05:32:09.636796,18.40,6.24,0
2026-02-12T05:32:09.690594,28.31,6.27,0
2026-02-12T05:32:09.718017,22.53,6.31,0
2026-02-12T05:32:09.740974,22.22,6.35,0
2026-02-12T05:32:09.787143,24.20,6.38,0
2026-02-12T05:32:09.816421,21.60,6.42,0
2026-02-12T05:32:09.858450,21.32,6.46,0
2026-02-12T05:32:09.879197,20.51,6.50,0
2026-02-12T05:32:09.919889,22.59,6.53,0
2026-02-12T05:32:09.951868,24.39,6.57,0
2026-02-12T05:32:09.985830,25.26,6.60,0
2026-02-12T05:32:10.028040,24.38,6.64,0
2026-02-12T05:32:10.054302,25.03,6.68,0
2026-02-12T05:32:10.094244,31.46,6.71,0
2026-02-12T05:32:10.125519,31.04,6.75,0
2026-02-12T05:32:10.160909,33.28,6.78,0
2026-02-12T05:32:10.191176,30.03,6.82,0
2026-02-12T05:32:10.233666,33.73,6.85,0
2026-02-12T05:32:10.265409,31.51,6.89,0
2026-02-12T05:32:10.298002,32.37,6.93,0
2026-02-12T05:32:10.330327,32.06,6.96,0
2026-02-12T05:32:10.360892,30.32,7.00,0
2026-02-12T05:32:10.392066,28.89,7.03,0
2026-02-12T05:32:10.423401,28.24,7.07,0
2026-02-12T05:32:10.465262,30.03,7.10,0
2026-02-12T05:32:10.489970,24.50,7.14,0
2026-02-12T05:32:10.522679,25.25,7.17,0
2026-02-12T05:32:10.558535,23.34,7.21,0
2026-02-12T05:32:10.586252,22.69,7.24,0
2026-02-12T05:32:10.620266,22.89,7.28,0
2026-02-12T05:32:10.653591,22.93,7.31,0
2026-02-12T05:32:10.684507,21.53,7.35,0
2026-02-12T05:32:10.720697,21.45,7.38,0
2026-02-12T05:32:10.753733,21.65,7.42,0
2026-02-12T05:32:10.787112,21.16,7.45,0
2026-02-12T05:32:10.820700,22.03,7.48,0
2026-02-12T05:32:10.853560,21.11,7.52,0
2026-02-12T05:32:10.888511,21.75,7.55,0
2026-02-12T05:32:10.918293,21.47,7.58,0
2026-02-12T05:32:10.951494,21.90,7.62,0
2026-02-12T05:32:10.993440,24.13,7.65,0
2026-02-12T05:32:11.021082,25.15,7.68,0
2026-02-12T05:32:11.052283,22.94,7.72,0
2026-02-12T05:32:11.089584,23.57,7.75,0
2026-02-12T05:32:11.120471,24.50,7.78,0
2026-02-12T05:32:11.156701,26.83,7.82,0
2026-02-12T05:32:11.201160,32.84,7.84,0
2026-02-12T05:32:11.233227,31.82,7.88,0
2026-02-12T05:32:11.269679,36.22,7.91,0
2026-02-12T05:32:11.311430,38.08,7.94,0
2026-02-12T05:32:11.350144,38.44,7.97,0
2026-02-12T05:32:11.391686,39.18,8.00,0
2026-02-12T05:32:11.430083,38.14,8.03,0
2026-02-12T05:32:11.468381,38.03,8.06,0
2026-02-12T05:32:11.500803,32.16,8.09,0
2026-02-12T05:32:11.531807,30.75,8.12,0
2026-02-12T05:32:11.562459,30.39,8.16,0
2026-02-12T05:32:11.593773,31.06,8.19,0
2026-02-12T05:32:11.623554,29.49,8.22,0
2026-02-12T05:32:11.655958,32.12,8.25,0
2026-02-12T05:32:11.691601,35.34,8.28,0
2026-02-12T05:32:11.721120,29.25,8.32,0
2026-02-12T05:32:11.753211,31.79,8.35,0
2026-02-12T05:32:11.785125,31.66,8.38,0
2026-02-12T05:32:11.818595,33.23,8.41,0
2026-02-12T05:32:11.848417,29.53,8.44,0
2026-02-12T05:32:11.881496,32.81,8.48,0
2026-02-12T05:32:11.915129,33.34,8.51,0
2026-02-12T05:32:11.946964,31.51,8.54,0
2026-02-12T05:32:12.011171,59.26,8.56,0
2026-02-12T05:32:12.042202,30.41,8.59,0
2026-02-12T05:32:12.069058,26.54,8.62,0
2026-02-12T05:32:12.097089,27.75,8.65,0
2026-02-12T05:32:12.123285,25.92,8.69,0
2026-02-12T05:32:12.150601,27.00,8.72,0
2026-02-12T05:32:12.178248,27.38,8.75,0
2026-02-12T05:32:12.209822,27.31,8.78,0
2026-02-12T05:32:12.236727,26.60,8.81,0
2026-02-12T05:32:12.267521,26.22,8.84,0
2026-02-12T05:32:12.299826,25.77,8.87,0
2026-02-12T05:32:12.332918,25.76,8.90,0
2026-02-12T05:32:12.366447,26.44,8.93,0
2026-02-12T05:32:12.401983,25.32,8.96,0
2026-02-12T05:32:12.435847,24.47,8.99,0
2026-02-12T05:32:12.466683,25.16,9.02,0
2026-02-12T05:32:12.497891,24.57,9.05,0
2026-02-12T05:32:12.531851,24.16,9.08,0
2026-02-12T05:32:12.564797,23.96,9.11,0
2026-02-12T05:32:12.598864,24.07,9.14,0
2026-02-12T05:32:12.645795,23.25,9.16,0
2026-02-12T05:32:12.670074,23.40,9.20,0
2026-02-12T05:32:12.697325,22.30,9.23,0
2026-02-12T05:32:12.729061,22.93,9.26,0
2026-02-12T05:32:12.763643,23.19,9.28,0
2026-02-12T05:32:12.799893,24.75,9.31,0
2026-02-12T05:32:12.835708,24.34,9.34,0
2026-02-12T05:32:12.865531,25.36,9.37,0
2026-02-12T05:32:12.906891,28.80,9.39,0
2026-02-12T05:32:12.935110,25.63,9.42,0
2026-02-12T05:32:12.966008,26.40,9.45,0
