timestamp,e2e_latency_ms,fps
2026-02-12T05:53:51.470388,1832.42,0.55
2026-02-12T05:53:51.495835,39.16,25.46
2026-02-12T05:53:51.514398,33.23,29.98
2026-02-12T05:53:51.547175,20.81,47.80
2026-02-12T05:53:51.583334,23.83,41.75
2026-02-12T05:53:51.624464,23.67,41.99
2026-02-12T05:53:51.643530,21.17,46.92
2026-02-12T05:53:51.679860,21.29,46.69
2026-02-12T05:53:51.730294,23.68,42.04
2026-02-12T05:53:51.756402,27.41,36.32
2026-02-12T05:53:51.792017,30.71,32.32
2026-02-12T05:53:51.820783,22.20,44.84
2026-02-12T05:53:51.850253,19.95,49.82
2026-02-12T05:53:51.903536,26.66,37.32
2026-02-12T05:53:51.930791,37.35,26.65
2026-02-12T05:53:51.951493,23.12,42.97
2026-02-12T05:53:51.986333,25.45,39.07
2026-02-12T05:53:52.031035,36.89,27.02
2026-02-12T05:53:52.051994,24.37,40.79
2026-02-12T05:53:52.089039,27.58,36.09
2026-02-12T05:53:52.116210,26.36,37.73
2026-02-12T05:53:52.151874,25.10,39.61
2026-02-12T05:53:52.180058,23.72,41.93
2026-02-12T05:53:52.218268,25.63,38.85
2026-02-12T05:53:52.272390,48.91,20.34
2026-02-12T05:53:52.294889,27.11,36.68
2026-02-12T05:53:52.315673,21.87,45.47
2026-02-12T05:53:52.354497,27.26,36.51
2026-02-12T05:53:52.389143,27.88,35.66
2026-02-12T05:53:52.415668,24.70,40.29
2026-02-12T05:53:52.452913,24.49,40.57
2026-02-12T05:53:52.488024,28.21,35.26
2026-02-12T05:53:52.525304,28.15,35.30
2026-02-12T05:53:52.557153,30.24,32.89
2026-02-12T05:53:52.588266,32.43,30.64
2026-02-12T05:53:52.631114,35.84,27.75
2026-02-12T05:53:52.663177,39.35,25.29
2026-02-12T05:53:52.695415,37.93,26.21
2026-02-12T05:53:52.787308,88.77,11.23
2026-02-12T05:53:52.891575,132.51,7.54
2026-02-12T05:53:52.926374,66.05,15.10
2026-02-12T05:53:52.983820,89.85,11.11
2026-02-12T05:53:53.069916,112.54,8.88
2026-02-12T05:53:53.095817,38.60,25.82
2026-02-12T05:53:53.116591,25.82,38.58
2026-02-12T05:53:53.151637,27.10,36.74
2026-02-12T05:53:53.183318,27.06,36.81
2026-02-12T05:53:53.210683,20.32,48.96
2026-02-12T05:53:53.246611,22.51,44.22
2026-02-12T05:53:53.285275,21.88,45.48
2026-02-12T05:53:53.322314,26.50,37.59
2026-02-12T05:53:53.348770,22.99,43.28
2026-02-12T05:53:53.385229,27.49,36.23
2026-02-12T05:53:53.418807,23.33,42.64
2026-02-12T05:53:53.457530,30.09,33.12
2026-02-12T05:53:53.478524,19.24,51.72
2026-02-12T05:53:53.512696,18.48,53.80
2026-02-12T05:53:53.543511,19.40,51.25
2026-02-12T05:53:53.576824,19.40,51.25
2026-02-12T05:53:53.617569,24.69,40.31
2026-02-12T05:53:53.647360,20.97,47.43
2026-02-12T05:53:53.689146,21.13,47.00
2026-02-12T05:53:53.711491,21.17,46.94
2026-02-12T05:53:53.746994,23.65,42.08
2026-02-12T05:53:53.784609,25.49,39.06
2026-02-12T05:53:53.812305,20.28,49.06
2026-02-12T05:53:53.853292,23.94,41.56
2026-02-12T05:53:53.880818,23.46,42.39
2026-02-12T05:53:53.911545,22.50,44.21
2026-02-12T05:53:53.947040,21.31,46.70
2026-02-12T05:53:53.983162,23.75,41.91
2026-02-12T05:53:54.011525,22.84,43.56
2026-02-12T05:53:54.048724,25.26,39.42
2026-02-12T05:53:54.086205,26.67,35.72
2026-02-12T05:53:54.125676,37.94,26.23
2026-02-12T05:53:54.146856,23.12,43.01
2026-02-12T05:53:54.189109,25.69,38.70
2026-02-12T05:53:54.212516,22.84,43.54
2026-02-12T05:53:54.253149,27.02,36.83
2026-02-12T05:53:54.288322,29.30,33.99
2026-02-12T05:53:54.323927,33.35,29.85
